employee_id,is_promoted,prediction,probability
4,0,0.0,"[0.933096477433176,0.06690352256682396]"
9,0,0.0,"[0.9053352294438252,0.09466477055617491]"
12,0,0.0,"[0.926577991267726,0.07342200873227399]"
28,0,0.0,"[0.8935614418321481,0.10643855816785187]"
37,0,0.0,"[0.901437151442305,0.09856284855769509]"
43,0,0.0,"[0.9327913755254998,0.06720862447450016]"
51,0,0.0,"[0.9284096719436635,0.07159032805633647]"
60,0,0.0,"[0.9168628807138215,0.0831371192861785]"
78,0,0.0,"[0.933695280977067,0.06630471902293299]"
79,0,0.0,"[0.9273181555951863,0.07268184440481375]"
80,0,0.0,"[0.9296553370892753,0.07034466291072475]"
84,0,0.0,"[0.9232277260417202,0.07677227395827987]"
89,0,0.0,"[0.9337577058066497,0.06624229419335029]"
94,0,0.0,"[0.9188768514495683,0.08112314855043162]"
102,0,0.0,"[0.9333740109899843,0.06662598901001573]"
111,0,0.0,"[0.9108322832626942,0.0891677167373058]"
122,0,0.0,"[0.8977801928793392,0.10221980712066087]"
155,0,0.0,"[0.8928905379983239,0.1071094620016761]"
169,0,0.0,"[0.9322598824642394,0.06774011753576063]"
176,0,0.0,"[0.8972551634350366,0.10274483656496333]"
177,0,0.0,"[0.9311524257771244,0.0688475742228756]"
180,0,0.0,"[0.931810599179441,0.06818940082055897]"
196,0,0.0,"[0.931579648229048,0.06842035177095199]"
200,0,0.0,"[0.9245333032717825,0.07546669672821753]"
229,0,0.0,"[0.9265370251439488,0.07346297485605119]"
240,0,0.0,"[0.8865913897314318,0.11340861026856819]"
244,0,0.0,"[0.934491775845972,0.06550822415402802]"
248,0,0.0,"[0.931678828664731,0.06832117133526906]"
253,1,0.0,"[0.922579908744315,0.07742009125568504]"
270,0,0.0,"[0.8946295744323973,0.10537042556760275]"
276,0,0.0,"[0.9343882773867012,0.06561172261329877]"
297,0,0.0,"[0.9297739985825273,0.07022600141747277]"
305,0,0.0,"[0.9372752961860966,0.06272470381390337]"
316,1,0.0,"[0.8119677087253148,0.18803229127468518]"
321,0,0.0,"[0.9202652924026075,0.07973470759739261]"
347,0,0.0,"[0.9319430181004738,0.06805698189952616]"
363,0,0.0,"[0.9280630732919195,0.07193692670808041]"
370,0,0.0,"[0.9248431803554243,0.07515681964457563]"
378,0,0.0,"[0.926053433823262,0.07394656617673805]"
380,0,0.0,"[0.9348963837397909,0.06510361626020908]"
383,0,0.0,"[0.927504741130056,0.0724952588699441]"
386,0,0.0,"[0.9121055969667314,0.08789440303326856]"
417,0,0.0,"[0.8803666937183366,0.11963330628166327]"
420,0,0.0,"[0.7404082025585328,0.2595917974414672]"
421,0,0.0,"[0.9316448129774533,0.06835518702254678]"
427,0,0.0,"[0.9298413022212526,0.07015869777874735]"
431,0,0.0,"[0.933615801078026,0.06638419892197404]"
449,1,0.0,"[0.9236147469917918,0.0763852530082082]"
451,0,0.0,"[0.9279835245760814,0.07201647542391867]"
465,0,0.0,"[0.9241255609537492,0.07587443904625071]"
482,0,0.0,"[0.9284270422211396,0.07157295777886048]"
484,0,0.0,"[0.9054675358549952,0.0945324641450048]"
489,1,0.0,"[0.8879785857145631,0.11202141428543684]"
500,0,0.0,"[0.938418763549809,0.06158123645019097]"
526,0,0.0,"[0.9321592088843502,0.06784079111564983]"
535,0,0.0,"[0.9297117893056415,0.07028821069435853]"
543,0,0.0,"[0.9294590787502648,0.0705409212497352]"
569,1,0.0,"[0.9261516297957316,0.07384837020426845]"
588,0,0.0,"[0.9053277554413621,0.09467224455863779]"
597,0,0.0,"[0.9331465934729668,0.06685340652703317]"
608,0,0.0,"[0.9311619476658325,0.06883805233416757]"
609,0,0.0,"[0.9285213936318876,0.0714786063681124]"
624,0,0.0,"[0.9265527621335934,0.07344723786640658]"
636,0,0.0,"[0.9301308249918913,0.06986917500810869]"
641,0,0.0,"[0.927488406072539,0.07251159392746098]"
645,0,0.0,"[0.9206965845868963,0.07930341541310365]"
667,0,0.0,"[0.9253524519844657,0.07464754801553425]"
676,0,0.0,"[0.9331485427725729,0.0668514572274271]"
679,0,0.0,"[0.93292069323893,0.06707930676106992]"
683,0,0.0,"[0.9357517504725419,0.06424824952745807]"
687,0,0.0,"[0.9281465295598639,0.07185347044013603]"
692,0,0.0,"[0.935768868792241,0.06423113120775914]"
703,0,0.0,"[0.9231871308421906,0.07681286915780935]"
714,0,0.0,"[0.9335920604176311,0.06640793958236889]"
725,0,0.0,"[0.9316448129774533,0.06835518702254678]"
729,1,0.0,"[0.827340734292417,0.17265926570758297]"
734,0,0.0,"[0.9322298705296237,0.06777012947037639]"
742,1,0.0,"[0.9166112976340507,0.08338870236594924]"
743,0,0.0,"[0.931142661277448,0.06885733872255205]"
745,0,0.0,"[0.9155818169775763,0.08441818302242361]"
748,0,0.0,"[0.918175613561275,0.08182438643872497]"
750,0,0.0,"[0.934092664417743,0.06590733558225709]"
778,0,0.0,"[0.9351116367567437,0.06488836324325625]"
795,0,0.0,"[0.9383777426469682,0.06162225735303174]"
805,0,0.0,"[0.9214319665354735,0.07856803346452655]"
809,0,0.0,"[0.928088217256241,0.07191178274375903]"
824,0,0.0,"[0.8975019928371024,0.1024980071628975]"
831,0,0.0,"[0.9378154006970455,0.06218459930295451]"
837,0,0.0,"[0.9290864117152547,0.07091358828474525]"
839,0,0.0,"[0.928739524488063,0.07126047551193708]"
843,0,0.0,"[0.9290911363680487,0.07090886363195119]"
848,0,0.0,"[0.8967932849011034,0.10320671509889656]"
851,0,0.0,"[0.9299050012801215,0.07009499871987834]"
854,0,0.0,"[0.8972695054325759,0.1027304945674241]"
860,0,0.0,"[0.9332983408519535,0.06670165914804653]"
869,0,0.0,"[0.9289250593463249,0.07107494065367524]"
888,0,0.0,"[0.9318276346626773,0.06817236533732268]"
894,0,0.0,"[0.9184186255475636,0.08158137445243638]"
908,0,0.0,"[0.9294931571290656,0.07050684287093452]"
910,1,0.0,"[0.8874598309358517,0.11254016906414843]"
913,0,0.0,"[0.9169261337800391,0.08307386621996092]"
917,0,0.0,"[0.9352006785163158,0.06479932148368421]"
926,0,0.0,"[0.9268346399282871,0.07316536007171297]"
931,1,0.0,"[0.9165541499565243,0.08344585004347571]"
934,0,0.0,"[0.9267025602129739,0.07329743978702603]"
938,1,0.0,"[0.598391671414237,0.401608328585763]"
949,0,0.0,"[0.9409066748363857,0.059093325163614284]"
966,0,0.0,"[0.9378359903148947,0.06216400968510518]"
967,0,0.0,"[0.9248911772195436,0.07510882278045641]"
971,0,0.0,"[0.9332330583037222,0.06676694169627784]"
